Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,145150,145134,145648,145667,145825,146247,146399,146530,146778,147427,147404,147615
2015,148145,148045,148128,148511,148817,148816,148830,149181,148826,149246,149463,150128
2016,150653,150939,151218,151074,151132,151223,151554,151779,151761,151793,151954,152157
2017,152152,152480,153065,153255,153069,153318,153569,153503,154286,153609,153805,153904
2018,154425,155197,155214,155312,155652,155762,156146,155504,156015,156391,156721,156817
2019,156487,156863,156701,156625,156821,157232,157529,157829,158339,158545,158629,158845
2020,158486,158683,155371,133185,137133,142345,143787,147261,147674,149949,149914,149989
2021,149817,150140,150660,151083,151487,151747,152789,153270,153909,154504,155508,156124
2022,157066,157528,158219,157888,158314,158116,158282,158758,158894,158729,158485,159300
2023,160152,160301,160824,160962,160707,161004,161209,161500,161550,161280,161866,161183
2024,161152,160968,161466,161491,,,,,,,,
