LocationAggregateName,periodyear,MonthName6,CivilianLaborForce6,Employed6,Unemployed6,UnemploymentRatePct6
Boone County,2024,January,"70,120","67,207","2,913",4.2 %
Boone County,2024,February,"70,250","67,063","3,187",4.5 %
Boone County,2024,March,"71,140","67,918","3,222",4.5 %
Boone County,2024,April,"71,449","68,740","2,709",3.8 %
Boone County,2023,January,"70,855","68,246","2,609",3.7 %
Boone County,2023,February,"71,071","68,235","2,836",4.0 %
Boone County,2023,March,"71,608","69,037","2,571",3.6 %
Boone County,2023,April,"71,249","69,051","2,198",3.1 %
Boone County,2023,May,"71,553","68,993","2,560",3.6 %
Boone County,2023,June,"72,153","69,277","2,876",4.0 %
Boone County,2023,July,"72,298","69,524","2,774",3.8 %
Boone County,2023,August,"71,924","69,359","2,565",3.6 %
Boone County,2023,September,"71,513","69,091","2,422",3.4 %
Boone County,2023,October,"71,549","69,154","2,395",3.3 %
Boone County,2023,November,"71,307","68,968","2,339",3.3 %
Boone County,2023,December,"70,651","68,296","2,355",3.3 %
Boone County,2022,January,"70,968","68,497","2,471",3.5 %
Boone County,2022,February,"71,469","68,961","2,508",3.5 %
Boone County,2022,March,"71,907","69,589","2,318",3.2 %
Boone County,2022,April,"72,098","70,006","2,092",2.9 %
Boone County,2022,May,"72,139","70,004","2,135",3.0 %
Boone County,2022,June,"72,889","70,227","2,662",3.7 %
Boone County,2022,July,"72,543","69,987","2,556",3.5 %
Boone County,2022,August,"72,290","69,940","2,350",3.3 %
Boone County,2022,September,"71,511","69,321","2,190",3.1 %
Boone County,2022,October,"71,428","69,101","2,327",3.3 %
Boone County,2022,November,"71,137","68,933","2,204",3.1 %
Boone County,2022,December,"70,918","68,792","2,126",3.0 %
Boone County,2021,January,"69,297","66,383","2,914",4.2 %
Boone County,2021,February,"69,680","66,789","2,891",4.1 %
Boone County,2021,March,"69,844","67,035","2,809",4.0 %
Boone County,2021,April,"70,453","68,078","2,375",3.4 %
Boone County,2021,May,"70,507","68,030","2,477",3.5 %
Boone County,2021,June,"71,520","68,435","3,085",4.3 %
Boone County,2021,July,"71,672","68,832","2,840",4.0 %
Boone County,2021,August,"70,882","68,431","2,451",3.5 %
Boone County,2021,September,"70,897","68,466","2,431",3.4 %
Boone County,2021,October,"71,213","68,930","2,283",3.2 %
Boone County,2021,November,"71,674","69,680","1,994",2.8 %
Boone County,2021,December,"71,419","69,431","1,988",2.8 %
Campbell County,2024,January,"49,261","47,154","2,107",4.3 %
Campbell County,2024,February,"49,387","47,116","2,271",4.6 %
Campbell County,2024,March,"49,988","47,712","2,276",4.6 %
Campbell County,2024,April,"50,232","48,246","1,986",4.0 %
Campbell County,2023,January,"49,780","47,909","1,871",3.8 %
Campbell County,2023,February,"49,953","47,932","2,021",4.0 %
