Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,155352,155483,156028,155369,155684,155707,156007,156130,156040,156417,156494,156332
2015,157030,156644,156643,157060,157651,157062,156997,157172,156733,157167,157463,158035
2016,158280,158640,159179,159141,158784,158967,159194,159562,159714,159605,159506,159678
2017,159620,159859,160137,160345,160068,160192,160462,160586,161140,160309,160579,160535
2018,160914,161778,161686,161771,161848,162210,162341,161660,162087,162602,162836,163206
2019,162963,162999,162904,162586,162751,163168,163590,163774,164092,164416,164496,164699
2020,164328,164412,162581,156276,158066,160003,160178,160759,160247,160961,160627,160761
2021,160014,160133,160395,160884,160737,161294,161558,161558,161568,161748,162241,162429
2022,163615,163807,164212,163922,164280,164100,164065,164741,164649,164679,164441,164998
2023,165871,166263,166690,166678,166823,167000,167113,167840,167897,167723,168127,167451
2024,167276,167426,167895,167982,,,,,,,,
