Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8885,8599,8515,8550,8834,8247,8167,7992,7907,7922,8000,7907
2016,7627,7702,7961,8067,7652,7744,7641,7784,7953,7811,7553,7521
2017,7468,7379,7073,7089,7000,6873,6892,7082,6854,6700,6774,6632
2018,6489,6581,6472,6459,6196,6447,6195,6156,6073,6211,6115,6389
2019,6475,6136,6202,5961,5930,5935,6061,5945,5753,5871,5868,5853
2020,5842,5729,7209,23090,20933,17658,16391,13498,12573,11012,10713,10772
2021,10196,9992,9734,9801,9250,9547,8770,8288,7659,7244,6733,6305
2022,6549,6279,5993,6034,5966,5984,5783,5983,5755,5950,5956,5698
2023,5719,5962,5866,5715,6117,5997,5904,6340,6347,6443,6262,6268
2024,6124,6458,6429,6492,,,,,,,,
