"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","47,391","±557","34,413","±866","26,497","±846","12,978","±843","37,197","±561","23,018","±680","17,150","±643","14,179","±662","64,544","±533","40,446","±936","29,735","±837","24,098","±1,033"
"    Less than $10,000","2.3%","±0.6","1.5%","±0.6","0.1%","±0.1","5.0%","±1.5","8.4%","±1.2","4.4%","±0.9","1.4%","±0.6","15.6%","±2.5","4.9%","±0.6","3.8%","±0.7","0.7%","±0.4","8.5%","±1.3"
"    $10,000 to $14,999","1.8%","±0.5","1.0%","±0.4","0.4%","±0.3","4.3%","±1.6","4.1%","±0.8","1.6%","±0.6","0.8%","±0.5","8.5%","±2.0","3.6%","±0.5","1.9%","±0.5","0.9%","±0.3","6.5%","±0.9"
"    $15,000 to $24,999","6.5%","±1.2","3.9%","±1.0","1.8%","±0.7","15.0%","±3.3","7.5%","±0.9","4.0%","±0.8","2.2%","±0.9","13.2%","±1.9","7.9%","±0.9","4.3%","±0.7","2.3%","±0.7","14.0%","±1.8"
"    $25,000 to $34,999","7.5%","±1.0","5.0%","±0.8","3.2%","±0.7","14.1%","±2.9","9.0%","±1.0","6.3%","±1.0","4.0%","±1.0","13.7%","±2.1","9.2%","±0.8","6.7%","±1.0","4.2%","±1.1","13.4%","±1.5"
"    $35,000 to $49,999","10.5%","±1.2","9.4%","±1.2","7.3%","±1.0","16.1%","±2.8","11.4%","±1.2","8.9%","±1.4","7.0%","±1.2","15.4%","±1.9","11.6%","±1.0","9.5%","±1.1","8.3%","±1.3","15.7%","±1.5"
"    $50,000 to $74,999","16.7%","±1.6","14.8%","±1.6","12.8%","±1.7","21.5%","±3.6","16.2%","±1.4","17.2%","±1.9","14.8%","±2.0","16.1%","±2.0","18.8%","±1.2","17.9%","±1.6","16.4%","±1.6","20.8%","±2.1"
"    $75,000 to $99,999","15.8%","±1.3","17.2%","±1.6","18.4%","±1.8","10.1%","±2.0","12.9%","±1.2","15.6%","±1.6","17.2%","±1.7","6.9%","±1.1","13.7%","±0.9","16.3%","±1.3","18.0%","±1.6","9.2%","±1.3"
"    $100,000 to $149,999","22.6%","±1.7","27.6%","±2.1","31.9%","±2.5","8.8%","±2.4","16.0%","±1.2","21.1%","±1.6","25.7%","±2.0","7.6%","±1.4","17.4%","±0.9","22.2%","±1.2","26.4%","±1.5","7.6%","±1.1"
"    $150,000 to $199,999","8.1%","±1.0","10.1%","±1.3","12.2%","±1.6","1.8%","±0.8","7.7%","±0.9","11.2%","±1.3","14.3%","±1.7","0.9%","±0.4","6.6%","±0.7","8.8%","±1.0","11.4%","±1.3","2.3%","±0.7"
"    $200,000 or more","8.2%","±1.1","9.4%","±1.1","11.9%","±1.4","3.3%","±2.1","6.8%","±1.2","9.7%","±1.9","12.5%","±2.4","2.1%","±0.6","6.2%","±0.6","8.5%","±0.9","11.4%","±1.1","2.0%","±0.7"
"Median income (dollars)","82,838","±3,216","95,904","±2,405","106,469","±1,848","43,930","±3,684","63,152","±2,766","85,172","±3,415","103,884","±3,747","34,181","±1,990","66,541","±1,823","83,257","±3,005","98,590","±3,320","42,140","±1,510"
"Mean income (dollars)","98,617","±3,145","110,909","±3,743","125,448","±4,323","59,613","±4,926","85,588","±3,940","106,849","±5,684","124,990","±6,946","48,373","±2,628","87,810","±2,253","104,499","±3,494","122,023","±4,327","56,244","±2,646"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","31.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","31.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","27.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.9%","(X)"
