"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","50,728","±873","35,123","±1,955","N","N","15,605","±2,135","39,048","±934","24,008","±1,561","N","N","15,040","±1,527","68,073","±1,360","43,226","±2,034","31,747","±2,030","24,847","±2,270"
"    Less than $10,000","1.3%","±0.9","1.0%","±0.7","N","N","3.2%","±2.6","7.4%","±2.7","2.9%","±1.7","N","N","14.8%","±6.7","5.2%","±1.5","4.2%","±1.8","0.9%","±1.1","8.0%","±2.5"
"    $10,000 to $14,999","2.5%","±1.5","1.4%","±1.3","N","N","5.1%","±3.6","4.8%","±1.7","2.6%","±1.8","N","N","8.0%","±3.5","3.7%","±1.3","1.6%","±1.0","0.9%","±0.6","6.3%","±3.0"
"    $15,000 to $24,999","4.6%","±1.6","3.2%","±1.9","N","N","9.7%","±3.9","4.9%","±1.6","2.4%","±1.1","N","N","9.8%","±3.7","7.3%","±1.8","3.8%","±1.9","1.2%","±0.9","13.2%","±3.4"
"    $25,000 to $34,999","4.9%","±1.5","2.1%","±1.3","N","N","11.1%","±4.0","8.1%","±1.9","7.5%","±2.8","N","N","9.7%","±3.4","7.8%","±1.6","6.1%","±2.0","3.4%","±1.4","11.8%","±3.3"
"    $35,000 to $49,999","13.3%","±3.0","8.6%","±3.2","N","N","22.8%","±6.6","10.9%","±2.7","8.7%","±3.1","N","N","14.1%","±4.9","11.9%","±2.5","10.1%","±2.8","8.3%","±2.8","15.0%","±4.2"
"    $50,000 to $74,999","19.8%","±3.5","18.6%","±4.2","N","N","24.0%","±6.9","15.5%","±2.8","13.3%","±3.4","N","N","18.7%","±4.5","17.1%","±2.5","17.3%","±3.2","17.0%","±3.8","17.5%","±3.4"
"    $75,000 to $99,999","13.0%","±2.5","14.9%","±3.4","N","N","10.9%","±4.7","12.7%","±2.4","14.0%","±3.0","N","N","10.0%","±3.8","14.0%","±2.4","15.5%","±3.2","16.0%","±3.8","12.4%","±3.9"
"    $100,000 to $149,999","22.6%","±3.2","26.7%","±4.5","N","N","8.8%","±5.4","17.3%","±3.2","22.1%","±4.6","N","N","9.4%","±4.4","18.6%","±2.4","21.9%","±3.4","27.3%","±4.4","11.9%","±3.9"
"    $150,000 to $199,999","6.7%","±1.9","8.3%","±2.3","N","N","2.7%","±2.6","7.6%","±1.9","10.8%","±3.0","N","N","2.6%","±1.4","8.4%","±2.0","10.7%","±2.6","13.8%","±3.5","3.3%","±1.7"
"    $200,000 or more","11.2%","±2.6","15.2%","±3.6","N","N","1.8%","±2.0","10.9%","±2.5","15.8%","±3.8","N","N","2.9%","±2.8","6.1%","±1.6","8.7%","±2.2","11.3%","±2.9","0.6%","±0.5"
"Median income (dollars)","83,877","±8,316","100,170","±7,376","107,555","±7,250","48,757","±4,281","71,701","±7,651","98,323","±8,039","123,164","±9,719","41,615","±7,077","70,171","±5,465","83,559","±9,448","105,404","±11,062","47,935","±4,644"
"Mean income (dollars)","106,271","±8,872","120,162","±7,158","N","N","67,349","±18,210","104,077","±10,011","129,836","±12,858","N","N","61,619","±16,321","87,858","±4,531","103,468","±6,340","N","N","56,683","±4,141"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","33.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","26.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.5%","(X)"
